mesh_id,indication_mesh_id,indication_mesh_term,sim_ontology,sim_semantic,sim_gap,bucket,sample_genes_ontology_side,sample_genes_semantic_side
['D020271'],D006816,Huntington Disease,-4.0,0.9061280488967896,-4.9061280488967896,semantic_only,"APP,GDNF,GRIN1,HDAC1,HTT","APP,GDNF,GRIN1,HDAC1,HTT"
['D054437'],D009190,Myelodysplastic Syndromes,-4.0,0.8794037103652954,-4.879403710365295,semantic_only,"ABL1,ACVRL1,AKT1,BCL2,BCR","ABL1,ACVRL1,AKT1,BCL2,BCR"
['D054437'],D009196,Myeloproliferative Disorders,-4.0,0.8514576554298401,-4.85145765542984,semantic_only,"BTK,FGFR1,FGFR2,FGFR3,JAK2","BTK,FGFR1,FGFR2,FGFR3,JAK2"
['D034721'],D008415,Mastocytosis,0.0,0.910654067993164,-0.910654067993164,semantic_only,"ABL1,BCR,BTK,CSF1R,FYN","ABL1,BCR,BTK,CSF1R,FYN"
['D011546'],D006929,Hyperaldosteronism,0.176,0.8090735673904419,-0.633073567390442,semantic_only,"CYP11B1,CYP11B2","CYP11B1,CYP11B2"
['D005128'],D012507,Sarcoidosis,0.233,0.8518370389938354,-0.6188370389938355,semantic_only,"CYP27B1,IL23A,NRP2,TNF","CYP27B1,IL23A,NRP2,TNF"
['D055013'],D010003,Osteoarthritis,0.366,0.8566731214523315,-0.49067312145233155,semantic_only,"ADORA3,BDKRB2,CALCR,CLK2,CNR1","ADORA3,BDKRB2,CALCR,CLK2,CNR1"
['D012594'],D012595,"Scleroderma, Systemic",0.437,0.9269721508026124,-0.4899721508026124,semantic_only,"AGTR2,CCR2,CD19,COL1A1,CTNNB1","AGTR2,CCR2,CD19,COL1A1,CTNNB1"
['D020370'],D010003,Osteoarthritis,0.409,0.8969429731369019,-0.4879429731369019,semantic_only,"ACAN,ADAMTS4,ADAMTS5,ADORA2A,C5AR1","ACAN,ADAMTS4,ADAMTS5,ADORA2A,C5AR1"
['D012594'],D045745,"Scleroderma, Limited",0.434,0.9095888733863832,-0.47558887338638317,semantic_only,"AGTR2,CCR2,CD19,COL1A1,CTNNB1","AGTR2,CCR2,CD19,COL1A1,CTNNB1"
['D012594'],D045743,"Scleroderma, Diffuse",0.413,0.8825833201408386,-0.46958332014083864,semantic_only,"AGTR2,CCR2,CD19,COL1A1,CTNNB1","AGTR2,CCR2,CD19,COL1A1,CTNNB1"
['D011086'],D011087,Polycythemia Vera,0.41,0.8790602684020996,-0.46906026840209963,semantic_only,"FLT3,FYN,HAMP,HDAC1,HDAC2","FLT3,FYN,HAMP,HDAC1,HDAC2"
['D000081029'],D006976,"Hypertension, Pulmonary",0.475,0.9088616371154784,-0.4338616371154784,semantic_only,"ACVR1,ACVR2A,AGTR2,BMP2,CDK4","ACVR1,ACVR2A,AGTR2,BMP2,CDK4"
['D015207'],D010003,Osteoarthritis,0.404,0.8306983709335327,-0.4266983709335327,semantic_only,"A2M,ACAN,ADAMTS4,ADAMTS5,ADORA2A","A2M,ACAN,ADAMTS4,ADAMTS5,ADORA2A"
