mesh_id,indication_mesh_id,indication_mesh_term,sim_ontology,sim_semantic,sim_gap,bucket,sample_genes_ontology_side,sample_genes_semantic_side
['D011087'],D009190,Myelodysplastic Syndromes,0.764,0.7532171010971069,0.010782898902893079,semantic_only,"BCL2,BTK,CDK2,CDK9,CLK2","BCL2,BTK,CDK2,CDK9,CLK2"
['D004830'],D000073376,Epileptic Syndromes,0.709,0.7527087926864624,-0.04370879268646244,semantic_only,"SCN2A,SYNGAP1","SCN2A,SYNGAP1"
"['D000015', 'D000077428', 'D001791', 'D002526', 'D004476', 'D008415', 'D008607', 'D009634', 'D012174', 'D013920', 'D013921', 'D014923', 'D015470', 'D016116', 'D019871', 'D046152', 'D054990', 'D056735', 'D057130']",D007938,Leukemia,0.768,0.7513302564620972,0.016669743537902848,semantic_only,"ABL1,BCL2,BCL2L1,BCR,BRAF","ABL1,BCL2,BCL2L1,BCR,BRAF"
"['D007951', 'D015470']",D007938,Leukemia,0.784,0.7513302564620972,0.03266974353790286,semantic_only,"CSNK2B,HDAC1,S100A9,TUBB","CSNK2B,HDAC1,S100A9,TUBB"
['D002313'],D002311,"Cardiomyopathy, Dilated",0.759,0.7504756450653076,0.00852435493469239,semantic_only,"BAG3,DAG1,DMD,F11R,ITGA7","BAG3,DAG1,DMD,F11R,ITGA7"
['D052556'],D013921,Thrombocytopenia,0.388,0.7491738796234131,-0.3611738796234131,semantic_only,"ACVR2A,ADAM17,ALOX12,CSF1R,F2","ACVR2A,ADAM17,ALOX12,CSF1R,F2"
['D007945'],D008223,Lymphoma,0.711,0.7490572333335876,-0.03805723333358768,semantic_only,"AKT2,ATF5,ATR,AURKB,BCL2","AKT2,ATF5,ATR,AURKB,BCL2"
['D002294'],D055752,Small Cell Lung Carcinoma,0.394,0.7479249238967896,-0.35392492389678953,semantic_only,"ABL1,ATR,AURKB,BCL2,CASP9","ABL1,ATR,AURKB,BCL2,CASP9"
['D009134'],D009133,Muscular Atrophy,0.371,0.746945858001709,-0.375945858001709,semantic_only,"AR,MSTN","AR,MSTN"
['D001327'],D056735,Autoimmune Lymphoproliferative Syndrome,0.612,0.7458263635635376,-0.1338263635635376,semantic_only,"HSP90AA1,ITK","HSP90AA1,ITK"
"['D006689', 'D008223']",D017728,"Lymphoma, Large-Cell, Anaplastic",0.702,0.7451918125152588,-0.04319181251525883,semantic_only,NTRK1,NTRK1
['D008223'],D017728,"Lymphoma, Large-Cell, Anaplastic",0.702,0.7451918125152588,-0.04319181251525883,semantic_only,"ALK,JAK1,NTRK1,NTRK3,PDCD1","ALK,JAK1,NTRK1,NTRK3,PDCD1"
['D004828'],D004827,Epilepsy,0.745,0.7448877096176147,0.00011229038238524947,semantic_only,"ABAT,CACNA1C,CACNA2D1,CACNG8,CAPN2","ABAT,CACNA1C,CACNA2D1,CACNG8,CAPN2"
['D000081207'],D016511,Severe Combined Immunodeficiency,0.0,0.7437484264373779,-0.7437484264373779,semantic_only,"ADA,CD34,DCLRE1C,IL2RG,KIT","ADA,CD34,DCLRE1C,IL2RG,KIT"
['D015451'],D016393,"Lymphoma, B-Cell",0.652,0.7395595908164978,-0.08755959081649778,semantic_only,"AURKA,BCL2,BCL2L1,BCL6,BTK","AURKA,BCL2,BCL2L1,BCL6,BTK"
['D006454'],D006457,"Hemoglobinuria, Paroxysmal",0.03,0.7393961548805237,-0.7093961548805237,semantic_only,"CD59,CFB","CD59,CFB"
"['D003327', 'D003324']",D054058,Acute Coronary Syndrome,0.711,0.7392818927764893,-0.028281892776489292,semantic_only,"ACE,APOA1,APOE,CETP,F2R","ACE,APOA1,APOE,CETP,F2R"
['D001172'],D001168,Arthritis,0.48,0.7391552925109863,-0.25915529251098635,semantic_only,"ADAM17,ADORA2A,AOC3,B2M,BDKRB1","ADAM17,ADORA2A,AOC3,B2M,BDKRB1"
['D020187'],D012893,Sleep Wake Disorders,-4.0,0.7384470701217651,-4.738447070121765,semantic_only,"ADRA1A,CNR1,CSNK1E,GABRA1,GABRA2","ADRA1A,CNR1,CSNK1E,GABRA1,GABRA2"
['D000073376'],D013226,Status Epilepticus,0.382,0.7383044958114624,-0.3563044958114624,semantic_only,"GABRA1,GABRA2,GABRA3,GABRA4,GABRA5","GABRA1,GABRA2,GABRA3,GABRA4,GABRA5"
['D009136'],D009133,Muscular Atrophy,0.38,0.738216757774353,-0.358216757774353,semantic_only,"AR,FBXO32,MIR499A,MSTN,SIRT1","AR,FBXO32,MIR499A,MSTN,SIRT1"
"['D008052', 'D009136']",D008060,Lipodystrophy,0.766,0.7378413677215576,0.028158632278442397,semantic_only,"ABCA1,ANGPTL3,APOC3,BSCL2,CYP7A1","ABCA1,ANGPTL3,APOC3,BSCL2,CYP7A1"
['D008108'],D008107,Liver Diseases,0.626,0.7375379800796509,-0.11153798007965088,semantic_only,"CTF1,FCGRT,IL6R","CTF1,FCGRT,IL6R"
['D001281'],D014693,Ventricular Fibrillation,0.721,0.7369222640991211,-0.01592226409912112,semantic_only,"ADRB1,ADRB2,KCNH2,PPARA,SCN5A","ADRB1,ADRB2,KCNH2,PPARA,SCN5A"
['D002294'],D002289,"Carcinoma, Non-Small-Cell Lung",0.4,0.7350246906280518,-0.33502469062805174,semantic_only,"ABCB1,ABL1,ADAR,AKT1,AKT2","ABCB1,ABL1,ADAR,AKT1,AKT2"
['D020191'],D004829,"Epilepsy, Generalized",0.757,0.7338433861732483,0.023156613826751715,semantic_only,"GABRA1,GRM7,SCN1A","GABRA1,GRM7,SCN1A"
['D017240'],D028361,Mitochondrial Diseases,0.792,0.7334784269332886,0.05852157306671146,semantic_only,"ALOX15,MT-ND1,MTOR,NFE2L2,PPARD","ALOX15,MT-ND1,MTOR,NFE2L2,PPARD"
"['D006689', 'D008223']",D008232,Lymphoproliferative Disorders,0.782,0.7333899736404419,0.048610026359558134,semantic_only,"HBB,HDAC1","HBB,HDAC1"
['D008223'],D008232,Lymphoproliferative Disorders,0.782,0.7333899736404419,0.048610026359558134,semantic_only,"HBB,HDAC1,HSP90AA1,IL6,MS4A1","HBB,HDAC1,HSP90AA1,IL6,MS4A1"
['D010245'],D010243,Paralysis,-4.0,0.7330487370491028,-4.733048737049103,semantic_only,DRD2,DRD2
['D000686'],D028227,"Amyloid Neuropathies, Familial",0.739,0.7329744696617126,0.006025530338287344,semantic_only,"APP,MAPT,SNCA,TTR","APP,MAPT,SNCA,TTR"
['D020191'],D004827,Epilepsy,0.733,0.7329027056694031,9.729433059690873e-05,semantic_only,"CACNA1G,GABRA1,GABRB3,KCNQ2,KCNQ3","CACNA1G,GABRA1,GABRB3,KCNQ2,KCNQ3"
['D017675'],D012595,"Scleroderma, Systemic",0.0,0.7329014539718628,-0.7329014539718628,semantic_only,"AGTR2,AREG,CCR2,CD19,COL1A1","AGTR2,AREG,CCR2,CD19,COL1A1"
['D008223'],D016403,"Lymphoma, Large B-Cell, Diffuse",0.717,0.7328682541847229,-0.01586825418472293,semantic_only,"AKT1,BCL2,BCL2L1,BCL6,BIRC5","AKT1,BCL2,BCL2L1,BCL6,BIRC5"
"['D006689', 'D008223']",D016403,"Lymphoma, Large B-Cell, Diffuse",0.717,0.7328682541847229,-0.01586825418472293,semantic_only,"BCL6,CBL,HDAC1","BCL6,CBL,HDAC1"
['D000428'],D000435,Alcoholic Intoxication,0.305,0.7327040433883667,-0.4277040433883667,semantic_only,ALDH2,ALDH2
['D015212'],D003092,Colitis,0.773,0.7317054867744446,0.04129451322555544,semantic_only,"APOE,CD2,CD3E,EGLN2,HAVCR2","APOE,CD2,CD3E,EGLN2,HAVCR2"
['D017445'],D014652,Vascular Diseases,-4.0,0.7302501797676086,-4.730250179767609,semantic_only,"MAPK14,TEK","MAPK14,TEK"
['D010020'],D010022,Osteopetrosis,0.625,0.7300934791564941,-0.10509347915649414,semantic_only,"CLCN7,PTH1R","CLCN7,PTH1R"
['D011618'],D001714,Bipolar Disorder,0.567,0.729335606098175,-0.1623356060981751,semantic_only,"ADRA1D,DRD1,DRD4,ESR1,GRIN1","ADRA1D,DRD1,DRD4,ESR1,GRIN1"
['D003925'],D003924,"Diabetes Mellitus, Type 2",0.0,0.729170560836792,-0.729170560836792,semantic_only,"ABCA1,ACVR2B,ADIPOR1,AKR1B1,ANGPTL3","ABCA1,ACVR2B,ADIPOR1,AKR1B1,ANGPTL3"
['D002313'],D002312,"Cardiomyopathy, Hypertrophic",0.763,0.7289384603500366,0.03406153964996339,semantic_only,"MIR208A,MIR499A,MYBPC3,TNNI3K","MIR208A,MIR499A,MYBPC3,TNNI3K"
['D001523'],D009497,Neurotic Disorders,0.625,0.7273855209350586,-0.1023855209350586,semantic_only,HTR2C,HTR2C
['D009196'],D009101,Multiple Myeloma,0.432,0.7258159518241882,-0.29381595182418824,semantic_only,"ABL1,ACVRL1,AKT1,AXL,BCL2","ABL1,ACVRL1,AKT1,AXL,BCL2"
"['D000015', 'D008305', 'D012868']",D011625,Pterygium,0.221,0.7257858514785767,-0.5047858514785767,semantic_only,FLT1,FLT1
['D006453'],D006457,"Hemoglobinuria, Paroxysmal",-4.0,0.7248706817626953,-4.724870681762695,semantic_only,"C3,CD59","C3,CD59"
['D005910'],D016543,Central Nervous System Neoplasms,0.431,0.7239861488342285,-0.2929861488342285,semantic_only,"EGFR,ERBB2,NTRK1,TP53","EGFR,ERBB2,NTRK1,TP53"
['D054988'],D011014,Pneumonia,-4.0,0.7239352464675903,-4.72393524646759,semantic_only,"IL13,IL1B,IL6,TGFB1,TNF","IL13,IL1B,IL6,TGFB1,TNF"
"['D008607', 'D049932', 'D054198']",D015470,"Leukemia, Myeloid, Acute",0.71,0.7235730290412903,-0.013573029041290319,semantic_only,"ABL1,ADA,BAK1,BCL2,BCR","ABL1,ADA,BAK1,BCL2,BCR"
['D054198'],D015470,"Leukemia, Myeloid, Acute",0.71,0.7235730290412903,-0.013573029041290319,semantic_only,"ARHGAP45,ATF5,AURKB,CCL3,CCL4","ARHGAP45,ATF5,AURKB,CCL3,CCL4"
['D005128'],D012164,Retinal Diseases,0.643,0.721648633480072,-0.078648633480072,semantic_only,"ITGA5,TNF","ITGA5,TNF"
['D000083242'],D020521,Stroke,0.0,0.7204422950744629,-0.7204422950744629,semantic_only,"A2M,ABCA1,ABCC8,ADAM17,ADAMTS13","A2M,ABCA1,ABCC8,ADAM17,ADAMTS13"
['D008223'],D016411,"Lymphoma, T-Cell, Peripheral",0.698,0.720054566860199,-0.02205456686019902,semantic_only,"BCL2,BCL2L1,CD274,CD37,CD4","BCL2,BCL2L1,CD274,CD37,CD4"
"['D006689', 'D008223']",D016411,"Lymphoma, T-Cell, Peripheral",0.698,0.720054566860199,-0.02205456686019902,semantic_only,"HDAC1,PNP","HDAC1,PNP"
['D014564'],D052801,Male Urogenital Diseases,0.665,0.7198868989944458,-0.054886898994445765,semantic_only,"AR,AVPR2,CHRM2,CHRM3,CHRM4","AR,AVPR2,CHRM2,CHRM3,CHRM4"
"['D010195', 'D050500']",D010190,Pancreatic Neoplasms,0.761,0.718359112739563,0.04264088726043702,semantic_only,"CA9,CCL21,CD4,CDK2,CDK4","CA9,CCL21,CD4,CDK2,CDK4"
['D016511'],D000081207,Primary Immunodeficiency Diseases,0.0,0.717734158039093,-0.717734158039093,semantic_only,"CXCR4,PIK3CD","CXCR4,PIK3CD"
['D006967'],D065631,"Rhinitis, Allergic",0.708,0.717309832572937,-0.009309832572937049,semantic_only,"ADAMTS4,ALOX5,CCL11,CCR4,CHRM1","ADAMTS4,ALOX5,CCL11,CCR4,CHRM1"
['D054556'],D013924,Thrombophlebitis,0.702,0.7154226303100586,-0.013422630310058636,semantic_only,"F10,PLAU","F10,PLAU"
"['D003920', 'D007676', 'D051436']",D003928,Diabetic Nephropathies,0.697,0.715278148651123,-0.018278148651123094,semantic_only,"ACE,ACVR2A,ADAM10,AGER,AGTR1","ACE,ACVR2A,ADAM10,AGER,AGTR1"
['D009447'],D005909,Glioblastoma,0.771,0.7149289846420288,0.05607101535797121,semantic_only,"AKT2,APEX1,ARNT,ATF5,AURKB","AKT2,APEX1,ARNT,ATF5,AURKB"
"['D001254', 'D004476', 'D005199', 'D005909', 'D007184', 'D014923', 'D016864', 'D056660']",D009447,Neuroblastoma,0.771,0.714928925037384,0.056071074962615985,semantic_only,"AKT1,AURKA,AURKB,CCNE1,CD19","AKT1,AURKA,AURKB,CCNE1,CD19"
"['D000544', 'D000941', 'D001281', 'D002037', 'D002311', 'D002312', 'D002313', 'D002386', 'D002607', 'D006332', 'D006344', 'D006627', 'D008133', 'D008305', 'D008661', 'D008831', 'D009135', 'D009136', 'D009202', 'D009447', 'D009634', 'D010235', 'D011371', 'D012804', 'D014693', 'D017696', 'D018305', 'D019571', 'D020388', 'D020389', 'D020774', 'D020914', 'D044542', 'D049310', 'D052496', 'D053840', 'D057180', 'D058494']",D005909,Glioblastoma,0.771,0.714928925037384,0.056071074962615985,semantic_only,"ABL1,ALK,AURKA,AURKB,BIRC5","ABL1,ALK,AURKA,AURKB,BIRC5"
['D011087'],D015477,"Leukemia, Myelomonocytic, Chronic",0.67,0.7148224115371704,-0.04482241153717037,semantic_only,"BCL2,FLT3,IL3RA,JAK2,KDM1A","BCL2,FLT3,IL3RA,JAK2,KDM1A"
"['D013920', 'D013921']",D013927,Thrombosis,0.21,0.7144848108291626,-0.5044848108291626,semantic_only,"GP1BA,GP6,ITGA2B,ITGB1,ITGB3","GP1BA,GP6,ITGA2B,ITGB1,ITGB3"
['D000224'],D001327,Autoimmune Diseases,0.606,0.7123718857765198,-0.10637188577651979,semantic_only,"AXL,BCL6,BIRC5,BTK,BTN2A2","AXL,BCL6,BIRC5,BTK,BTN2A2"
['D006505'],D006526,Hepatitis C,0.77,0.7122851014137268,0.05771489858627321,semantic_only,"MMP14,PI4KB","MMP14,PI4KB"
['D008269'],D003930,Diabetic Retinopathy,0.666,0.7119011878967285,-0.04590118789672848,semantic_only,"ANGPT1,ANGPT2,ARF6,BCL2,BDKRB1","ANGPT1,ANGPT2,ARF6,BCL2,BDKRB1"
"['D001176', 'D003638', 'D004535', 'D005199', 'D005350', 'D006958', 'D009396', 'D010013', 'D030321', 'D040181', 'D052159']",D009447,Neuroblastoma,0.502,0.7099368572235107,-0.20793685722351074,semantic_only,"AURKA,AURKB,CCNE1,CCNE2,CDK2","AURKA,AURKB,CCNE1,CCNE2,CDK2"
['D016403'],D008223,Lymphoma,0.717,0.7097914814949036,0.007208518505096406,semantic_only,"CD86,HDAC3,IMPDH2,MAT2A,MYC","CD86,HDAC3,IMPDH2,MAT2A,MYC"
['D009136'],D009134,"Muscular Atrophy, Spinal",0.638,0.7097263336181641,-0.07172633361816405,semantic_only,"IGF1,LRP4,MSTN,RYR1,SMN1","IGF1,LRP4,MSTN,RYR1,SMN1"
['D007018'],D010911,Pituitary Neoplasms,0.708,0.7075517773628235,0.00044822263717647637,semantic_only,FOLR1,FOLR1
['D049310'],D020914,"Myopathies, Structural, Congenital",0.616,0.7075105905532837,-0.0915105905532837,semantic_only,"DES,DNM2,MTM1,RYR1","DES,DNM2,MTM1,RYR1"
['D016393'],D008223,Lymphoma,0.795,0.7071830034255981,0.0878169965744019,semantic_only,"AKT1,AKT2,AKT3,ALK,ARG1","AKT1,AKT2,AKT3,ALK,ARG1"
['D005340'],D000347,Afibrinogenemia,0.0,0.7058899402618408,-0.7058899402618408,semantic_only,"FGA,FGB,FGG","FGA,FGB,FGG"
"['D000081207', 'D017074', 'D017098']",D016511,Severe Combined Immunodeficiency,0.368,0.7055926322937012,-0.3375926322937012,semantic_only,"ADA,DCLRE1C,IL2RG,KIT,RAG1","ADA,DCLRE1C,IL2RG,KIT,RAG1"
['D003317'],D065306,Corneal Injuries,0.747,0.7054778933525085,0.04152210664749145,semantic_only,"CCN2,EGF,FGF2,FN1,MMP1","CCN2,EGF,FGF2,FN1,MMP1"
['D054988'],D017563,"Lung Diseases, Interstitial",-4.0,0.7048890590667725,-4.7048890590667725,semantic_only,TGFB1,TGFB1
"['D054198', 'D015452']",D016393,"Lymphoma, B-Cell",0.665,0.7038412094116211,-0.03884120941162106,semantic_only,"CD27,CDK2,CDK4,CDK5,CDK9","CD27,CDK2,CDK4,CDK5,CDK9"
"['D000130', 'D003398', 'D004392', 'D008228', 'D013796', 'D051359', 'D056735']",D006689,Hodgkin Disease,0.752,0.7033305764198303,0.04866942358016968,semantic_only,"CD19,CD22,CD27,CD274,CD3E","CD19,CD22,CD27,CD274,CD3E"
['D008223'],D008209,Lymphedema,0.655,0.7026001214981079,-0.047600121498107884,semantic_only,"TGFB1,TNFRSF1A","TGFB1,TNFRSF1A"
['D008224'],D016393,"Lymphoma, B-Cell",0.746,0.7022935152053833,0.043706484794616696,semantic_only,"BCL2,CD7,CD79B,CXCR5,EIF5A","BCL2,CD7,CD79B,CXCR5,EIF5A"
['D008228'],D006689,Hodgkin Disease,0.752,0.7022793889045715,0.04972061109542847,semantic_only,"AKT1,CD19,CD22,CD27,CD274","AKT1,CD19,CD22,CD27,CD274"
['D011304'],D034381,Hearing Loss,-4.0,0.7019442319869995,-4.7019442319869995,semantic_only,"ATOH1,FGFR1,FZD4,GDNF,KCNC1","ATOH1,FGFR1,FZD4,GDNF,KCNC1"
['D007945'],D015477,"Leukemia, Myelomonocytic, Chronic",0.666,0.7011935114860535,-0.03519351148605343,semantic_only,"ASPH,AURKB,BCL2,CD33,CD70","ASPH,AURKB,BCL2,CD33,CD70"
['D065626'],D008107,Liver Diseases,0.601,0.7002142071723938,-0.09921420717239382,semantic_only,"ADIPOQ,APOC3,AVPR1A,AVPR1B,C3","ADIPOQ,APOC3,AVPR1A,AVPR1B,C3"
['D008104'],D008105,"Liver Cirrhosis, Biliary",0.783,0.698185920715332,0.084814079284668,semantic_only,"GIPR,IL23A,JAK2,S1PR4,S1PR5","GIPR,IL23A,JAK2,S1PR4,S1PR5"
"['D000015', 'D008305', 'D012868', 'D020294']",D011625,Pterygium,0.221,0.6977686882019043,-0.4767686882019043,semantic_only,"FLT1,LYN","FLT1,LYN"
['D056648'],D014657,Vasculitis,0.783,0.6976553797721863,0.08534462022781375,semantic_only,"AOC3,IL6R","AOC3,IL6R"
"['D000080344', 'D003103', 'D003318', 'D007634', 'D015783']",D005128,Eye Diseases,0.708,0.6975979804992676,0.010402019500732385,semantic_only,"ABL1,ACHE,APLN,APP,AR","ABL1,ACHE,APLN,APP,AR"
['D010020'],D010024,Osteoporosis,0.679,0.6973963379859924,-0.018396337985992384,semantic_only,"BMP2,BMP7,CTSK,CTSL,CTSV","BMP2,BMP7,CTSK,CTSL,CTSV"
['D011656'],D004646,Emphysema,0.197,0.6965199708938599,-0.49951997089385985,semantic_only,"ELANE,RARG,SMPD1","ELANE,RARG,SMPD1"
['D028361'],D017240,Mitochondrial Myopathies,0.792,0.6965140104293823,0.09548598957061771,semantic_only,"NFE2L2,USP30","NFE2L2,USP30"
['D017544'],D000783,Aneurysm,0.795,0.6958516836166382,0.09914831638336186,semantic_only,HMGCR,HMGCR
['D009468'],D016472,Motor Neuron Disease,0.691,0.6950993537902832,-0.0040993537902832555,semantic_only,"MTOR,TARDBP,TMSB4X","MTOR,TARDBP,TMSB4X"
"['D003920', 'D007676', 'D051436']",D007674,Kidney Diseases,0.765,0.6937884092330933,0.07121159076690675,semantic_only,"ABL1,BCR,EDNRA,EGLN2,LRP2","ABL1,BCR,EDNRA,EGLN2,LRP2"
['D000083242'],D002545,Brain Ischemia,0.0,0.6934413313865662,-0.6934413313865662,semantic_only,"A2M,ABCA1,ABCC8,ADAM17,ADAMTS13","A2M,ABCA1,ABCC8,ADAM17,ADAMTS13"
"['D001714', 'D001523']",D011618,Psychotic Disorders,0.647,0.6929969787597656,-0.045996978759765605,semantic_only,"CACNG8,CHRM1,DRD4,GRIN1,KCNQ2","CACNG8,CHRM1,DRD4,GRIN1,KCNQ2"
"['D006623', 'D010673', 'D011086']",D020754,Spinocerebellar Ataxias,0.362,0.6922550797462463,-0.33025507974624635,semantic_only,"ATXN1,ATXN2,ATXN3,DAO","ATXN1,ATXN2,ATXN3,DAO"
['D008223'],D044148,Lymphatic Abnormalities,0.628,0.6918380260467529,-0.06383802604675293,semantic_only,"MTOR,PIK3CA,TLR4","MTOR,PIK3CA,TLR4"
['D054556'],D013922,Thrombocytosis,0.185,0.6917892098426819,-0.5067892098426818,semantic_only,"APCS,JAK2,PIK3CA,PIK3CB,PIK3CG","APCS,JAK2,PIK3CA,PIK3CB,PIK3CG"
